,Unnamed: 0,names,quantity,names_encoded,predicted_quantity
380,380.0,TROUBLE,8,6197,
381,381.0,TUX,8,6241,
382,382.0,TWINKLE,8,6252,
383,383.0,VICTORIA,8,6335,
384,384.0,WHISKERS,8,6400,
385,385.0,YUKI,8,6519,
386,386.0,ZELDA,8,6549,
387,387.0,ALVIN,7,109,
388,388.0,BARLEY,7,381,
389,389.0,BLUEBERRY,7,649,
390,390.0,BOBO,7,673,
391,391.0,BUFFY,7,816,
392,392.0,BUNNY,7,834,
393,393.0,BUTTONS,7,860,
394,394.0,CAIRO,7,882,
395,395.0,CARAMEL,7,939,
396,396.0,CHEETO,7,1105,
397,397.0,CHELSEA,7,1111,
398,398.0,CHIP,7,1153,
399,399.0,EARL GREY,7,1671,
400,400.0,EVIE,7,1812,
401,401.0,FERN,7,1867,
402,402.0,FIFI,7,1883,
403,403.0,FLASH,7,1923,
404,404.0,FRANK,7,1979,
405,405.0,GARY,7,2079,
406,406.0,GHOST,7,2125,
407,407.0,GRETA,7,2225,
408,408.0,GYPSY,7,2286,
409,409.0,HANNAH,7,2316,
410,410.0,HARU,7,2336,
411,411.0,HECTOR,7,2360,
412,412.0,JOHNNY,7,2689,
413,413.0,JUNIOR,7,2737,
414,414.0,LEXIE,7,3160,
415,415.0,LOUIS,7,3287,
416,416.0,LUCIFER,7,3313,
417,417.0,MAMA,7,3456,
418,418.0,MARS,7,3534,
419,419.0,MATILDA,7,3571,
420,420.0,MAURICE,7,3585,
421,421.0,MELODY,7,3658,
422,422.0,MEOW MEOW,7,3666,
423,423.0,MIKEY,7,3744,
424,424.0,MIKO,7,3748,
425,425.0,MYLO,7,4133,
426,426.0,NELLIE,7,4204,
427,427.0,NOAH,7,4289,
428,428.0,NORMAN,7,4321,
429,429.0,NOX,7,4332,
430,430.0,PHANTOM,7,4629,
431,431.0,PINKY,7,4680,
432,432.0,PIPPA,7,4692,
433,433.0,PIPPIN,7,4695,
434,434.0,PLUTO,7,4737,
435,435.0,ROCCO,7,5062,
436,436.0,SIMONE,7,5488,
437,437.0,SNICKERS,7,5569,
438,438.0,SNOOPY,7,5577,
439,439.0,SPOT,7,5689,
440,440.0,STANLEY,7,5725,
441,441.0,TACO,7,5858,
442,442.0,TAFFY,7,5863,
443,443.0,TARA,7,5896,
444,444.0,TAZ,7,5918,
445,445.0,TIMBIT,7,6054,
446,446.0,TUNA,7,6229,
447,447.0,WEDNESDAY,7,6386,
448,448.0,WILLIAM,7,6431,
449,449.0,WOLFIE,7,6460,
450,450.0,ACHILLES,6,21,
451,451.0,ANNA,6,164,
452,452.0,ANNABELLE,6,167,
453,453.0,APRIL,6,193,
454,454.0,ARIA,6,209,
455,455.0,AVA,6,280,
456,456.0,BAGHEERA,6,342,
457,457.0,BAMBI,6,359,
458,458.0,BEANS,6,428,
459,459.0,BEAUTY,6,444,
460,460.0,BELLO,6,478,
461,461.0,BLACKBERRY,6,619,
462,462.0,BLAZE,6,634,
463,463.0,BRIE,6,765,
464,464.0,BROWNIE,6,785,
465,465.0,CASHEW,6,975,
466,466.0,CASSIDY,6,988,
467,467.0,CINDY,6,1231,
468,468.0,CLOUDY,6,1277,
469,469.0,COLE,6,1308,
470,470.0,CORA,6,1329,
471,471.0,CRYSTAL,6,1393,
472,472.0,CUPCAKE,6,1401,
473,473.0,DANTE,6,1449,
474,474.0,DAPHNE,6,1453,
475,475.0,DARCY,6,1457,
476,476.0,DIXIE,6,1567,
477,477.0,DOBBY,6,1574,
478,478.0,DORA,6,1607,
479,479.0,DOROTHY,6,1614,
480,480.0,DOTTIE,6,1619,
481,481.0,DUCHESS,6,1641,
482,482.0,DUNDEE,6,1655,
483,483.0,EMMY,6,1760,
484,484.0,EVA,6,1801,
485,485.0,GLORIA,6,2175,
486,486.0,GRAY,6,2215,
487,487.0,GREYSON,6,2234,
488,488.0,HANK,6,2314,
489,489.0,HAPPY,6,2320,
490,490.0,HERCULES,6,2384,
491,491.0,INDY,6,2499,
492,492.0,ISABELLA,6,2514,
493,493.0,ISIS,6,2520,
494,494.0,JAMIE,6,2573,
495,495.0,JAZZY,6,2606,
496,496.0,JESSE,6,2637,
497,497.0,JULES,6,2721,
498,498.0,JULIET,6,2727,
499,499.0,KENNY,6,2849,
500,500.0,KHALEESI,6,2863,
501,501.0,KING,6,2896,
502,502.0,KIT KAT,6,2929,
503,503.0,KOBE,6,2973,
504,504.0,LANCELOT,6,3066,
505,505.0,LAYLA,6,3096,
506,506.0,LEIA,6,3114,
507,507.0,LEONARDO,6,3143,
508,508.0,LEROY,6,3148,
509,509.0,LEVI,6,3152,
510,510.0,LINUS,6,3219,
511,511.0,LIONEL,6,3220,
512,512.0,LISA,6,3228,
513,513.0,LIZZIE,6,3258,
514,514.0,LUCA,6,3304,
515,515.0,MABEL,6,3377,
516,516.0,MAEVE,6,3408,
517,517.0,MAXI,6,3593,
518,518.0,MERRY,6,3679,
519,519.0,MILKY,6,3761,
520,520.0,MINNOW,6,3808,
521,521.0,MITZI,6,3879,
522,522.0,MITZY,6,3881,
523,523.0,MOOKIE,6,3964,
524,524.0,MOOSE,6,3974,
525,525.0,MOSES,6,3993,
526,526.0,MOWGLI,6,4012,
527,527.0,NACHO,6,4151,
528,528.0,NEMO,6,4207,
529,529.0,NEO,6,4209,
530,530.0,NIKO,6,4262,
531,531.0,ORION,6,4423,
532,532.0,PATCH,6,4521,
533,533.0,PUMA,6,4853,
534,534.0,QUINCY,6,4915,
535,535.0,REESE,6,4988,
536,536.0,RITA,6,5047,
537,537.0,ROGER,6,5075,
538,538.0,RUFUS,6,5158,
539,539.0,SAMSON,6,5244,
540,540.0,SIDNEY,6,5469,
541,541.0,SPICE,6,5669,
542,542.0,SPIRIT,6,5680,
543,543.0,TANNER,6,5890,
544,544.0,THEODORE,6,5983,
545,545.0,TIPPY,6,6081,
546,546.0,TOAST,6,6099,
547,547.0,TOBI,6,6103,
548,548.0,TOFU,6,6117,
549,549.0,TONY,6,6137,
550,550.0,TUCKER,6,6210,
551,551.0,TUXEDO,6,6242,
552,552.0,TYSON,6,6275,
553,553.0,VELVET,6,6319,
554,554.0,VENUS,6,6322,
555,555.0,VINNIE,6,6341,
556,556.0,WALTER,6,6371,
557,557.0,WILLY,6,6438,
558,558.0,WOODY,6,6468,
559,559.0,YODA,6,6503,
560,560.0,ZACH,6,6532,
561,561.0,ZORRO,6,6589,
562,562.0,ABBEY,5,8,
563,563.0,ALBERT,5,64,
564,564.0,ASHER,5,237,
565,565.0,ASPEN,5,243,
566,566.0,ATTICUS,5,261,
567,567.0,BALOO,5,353,
568,568.0,BARNABY,5,382,
569,569.0,BART,5,388,
570,570.0,BERNARD,5,510,
571,571.0,BIJOU,5,553,
572,572.0,BLOSSOM,5,645,
573,573.0,BREE,5,752,
574,574.0,BRUTUS,5,793,
575,575.0,BUCKY,5,807,
576,576.0,BUTTER,5,849,
577,577.0,CASEY,5,973,
578,578.0,CHANEL,5,1053,
579,579.0,CHECKERS,5,1090,
580,580.0,CHICA,5,1129,
581,581.0,CHRISSY,5,1183,
582,582.0,CINDERELLA,5,1228,
583,583.0,CLOVER,5,1279,
584,584.0,COCONUT,5,1294,
585,585.0,COMET,5,1315,
586,586.0,COPPER,5,1327,
587,587.0,DAHLIA,5,1425,
588,588.0,DAX,5,1479,
589,589.0,DIEGO,5,1540,
590,590.0,DUCKY,5,1645,
591,591.0,ECLIPSE,5,1681,
592,592.0,EDWIN,5,1695,
593,593.0,ELI,5,1717,
594,594.0,EMBER,5,1751,
595,595.0,FANNY,5,1828,
596,596.0,FLUFF,5,1947,
597,597.0,FOXY,5,1970,
598,598.0,FREDERICK,5,1995,
599,599.0,FRIDA,5,2010,
600,600.0,GIDGET,5,2133,
601,601.0,GINA,5,2147,
602,602.0,HALO,5,2299,
603,603.0,HERSHEY,5,2395,
604,604.0,HOWARD,5,2452,
605,605.0,INKY,5,2502,
606,606.0,JACKIE,5,2549,
607,607.0,JACOB,5,2552,
608,608.0,JANE,5,2580,
609,609.0,JAZZ,5,2603,
610,610.0,JENNY,5,2629,
611,611.0,JERSEY,5,2635,
612,612.0,JEWEL,5,2651,
613,613.0,JOLIE,5,2694,
614,614.0,JOSEPHINE,5,2705,
615,615.0,JULIE,5,2725,
616,616.0,KAI,5,2756,
617,617.0,KARMA,5,2782,
618,618.0,KEIRA,5,2838,
619,619.0,KEVIN,5,2859,
620,620.0,KIT,5,2927,
621,621.0,LALA,5,3058,
622,622.0,LATTE,5,3083,
623,623.0,LIGHTNING,5,3178,
624,624.0,LITTLE BEAR,5,3233,
625,625.0,LOUISE,5,3289,
626,626.0,LUCIE,5,3311,
627,627.0,LYLA,5,3370,
628,628.0,MACK,5,3393,
629,629.0,MACY,5,3396,
630,630.0,MAISIE,5,3434,
631,631.0,MARIE,5,3513,
632,632.0,MARILYN,5,3517,
633,633.0,MARLEE,5,3524,
634,634.0,MARTIN,5,3544,
635,635.0,MARY,5,3553,
636,636.0,MATTHEW,5,3576,
637,637.0,MAXIE,5,3594,
638,638.0,MAXINE,5,3599,
639,639.0,MEEKO,5,3633,
640,640.0,MERCEDES,5,3670,
641,641.0,MICAH,5,3705,
642,642.0,MIKE,5,3741,
643,643.0,MILKSHAKE,5,3760,
644,644.0,MINDY,5,3788,
645,645.0,MISCHIEF,5,3824,
646,646.0,MISHKA,5,3829,
647,647.0,MOJO,5,3914,
648,648.0,MONICA,5,3940,
649,649.0,MONTE,5,3948,
650,650.0,MORGAN,5,3979,
651,651.0,NICO,5,4245,
652,652.0,NIMBUS,5,4269,
653,653.0,NOODLE,5,4304,
654,654.0,ODIE,5,4371,
655,655.0,OPHELIA,5,4410,
656,656.0,OTTO,5,4443,
657,657.0,OZZIE,5,4451,
658,658.0,PACO,5,4457,
659,659.0,PASHA,5,4513,
660,660.0,PEACH,5,4543,
661,661.0,PETE,5,4616,
662,662.0,PETER,5,4617,
663,663.0,PICASSO,5,4649,
664,664.0,PIKACHU,5,4665,
665,665.0,PITA,5,4715,
666,666.0,PIXEL,5,4723,
667,667.0,POPCORN,5,4772,
668,668.0,PURRCY,5,4868,
669,669.0,RAMONA,5,4943,
670,670.0,RED,5,4982,
671,671.0,RIO,5,5042,
672,672.0,ROBIN,5,5057,
673,673.0,RONNIE,5,5094,
674,674.0,RORY,5,5101,
675,675.0,ROSA,5,5102,
676,676.0,SAMPSON,5,5243,
677,677.0,SARAH,5,5265,
678,678.0,SAVANNAH,5,5290,
679,679.0,SCAR,5,5299,
680,680.0,SLINKY,5,5532,
681,681.0,SPENCER,5,5666,
682,682.0,SPIKE,5,5677,
683,683.0,STERLING,5,5738,
684,684.0,SULLY,5,5781,
685,685.0,SUNDAY,5,5790,
686,686.0,SYDNEY,5,5836,
687,687.0,TESLA,5,5961,
688,688.0,TIMOTHY,5,6063,
689,689.0,TINKER BELL,5,6069,
690,690.0,TJ,5,6096,
691,691.0,TOOTSIE,5,6146,
692,692.0,TULIP,5,6222,
693,693.0,VINNY,5,6342,
694,694.0,WANDA,5,6372,
695,695.0,WATSON,5,6378,
696,696.0,WILSON,5,6440,
697,697.0,ALLEY,4,91,
698,698.0,ANGIE,4,157,
699,699.0,ARI,4,208,
700,700.0,ARIES,4,214,
701,701.0,ASHA,4,235,
702,702.0,ASHTON,4,242,
703,703.0,ASTER,4,246,
704,704.0,ASTRO,4,250,
705,705.0,ATLAS,4,256,
706,706.0,AURORA,4,276,
707,707.0,BADGER,4,338,
708,708.0,BARON,4,385,
709,709.0,BB,4,419,
710,710.0,BECKY,4,452,
711,711.0,BENITO,4,486,
712,712.0,BENJI,4,489,
713,713.0,BERT,4,516,
714,714.0,BETH,4,521,
715,715.0,BLACKY,4,625,
716,716.0,BOBBIE,4,664,
717,717.0,BOLT,4,681,
718,718.0,BONES,4,686,
719,719.0,BORIS,4,722,
720,720.0,BOW,4,732,
721,721.0,BROOKLYN,4,783,
722,722.0,BUTTERSCOTCH,4,858,
723,723.0,BYRON,4,864,
724,724.0,CAESAR,4,877,
725,725.0,CANDY,4,918,
726,726.0,CARLOS,4,955,
727,727.0,CARLY,4,957,
728,728.0,CASH,4,974,
729,729.0,CECE,4,1019,
730,730.0,CESAR,4,1037,
731,731.0,CHAMP,4,1048,
732,732.0,CHANDLER,4,1051,
733,733.0,CHARCOAL,4,1066,
734,734.0,CHARLEY,4,1071,
735,735.0,CHERRY,4,1116,
736,736.0,CINDER,4,1227,
737,737.0,CLAIRE,4,1243,
738,738.0,COLA,4,1304,
739,739.0,COSMIC,4,1345,
740,740.0,COTTON,4,1349,
741,741.0,COWBOY,4,1359,
742,742.0,CUTIE,4,1409,
743,743.0,DARWIN,4,1468,
744,744.0,DAVE,4,1472,
745,745.0,DAWN,4,1477,
746,746.0,DICE,4,1535,
747,747.0,DOC,4,1575,
748,748.0,DODGER,4,1577,
749,749.0,DOOLEY,4,1601,
750,750.0,DORIAN,4,1611,
751,751.0,DUNCAN,4,1654,
752,752.0,DYSON,4,1668,
753,753.0,EDDY,4,1685,
754,754.0,EDNA,4,1691,
755,755.0,FERGUS,4,1866,
756,756.0,FINNIGAN,4,1902,
757,757.0,FRANCINE,4,1974,
758,758.0,FRANKLIN,4,1982,
759,759.0,FRIDAY,4,2013,
